checking_status,duration,credit_history,purpose,credit_amount,savings_status,employment,installment_commitment,personal_status,other_parties,residence_since,property_magnitude,age,other_payment_plans,housing,existing_credits,job,num_dependents,own_telephone,foreign_worker,class,age_bin,predicted_class,predicted_proba
'0<=X<200',18,'critical/other existing credit','new car',884,'<100','>=7',4,'male single',none,4,car,36,bank,own,1,skilled,2,yes,yes,bad,35-49,0,0.4568091463971572
'no checking',15,'critical/other existing credit',radio/tv,1360,'<100','1<=X<4',4,'male single',none,2,'life insurance',31,none,own,2,skilled,1,none,yes,good,25-34,0,0.05499805954650588
'0<=X<200',9,'all paid','used car',5129,'<100','>=7',2,'female div/dep/mar',none,4,'no known property',74,bank,'for free',1,'high qualif/self emp/mgmt',2,yes,yes,bad,65+,0,0.43715263671237814
'0<=X<200',16,'critical/other existing credit','new car',1175,'<100',unemployed,2,'male single',none,3,car,68,none,'for free',3,'unemp/unskilled non res',1,yes,yes,good,65+,0,0.0788670812326971
'<0',12,'existing paid',radio/tv,674,'100<=X<500','4<=X<7',4,'male mar/wid',none,1,'life insurance',20,none,own,1,skilled,1,none,yes,bad,<25,0,0.2558507085848053
'no checking',24,'existing paid',business,4591,'>=1000','1<=X<4',2,'male single',none,3,'life insurance',54,none,own,3,'high qualif/self emp/mgmt',1,yes,yes,bad,50-64,0,0.026166831839797153
'0<=X<200',27,'existing paid',business,3915,'<100','1<=X<4',4,'male single',none,2,car,36,none,own,1,skilled,2,yes,yes,bad,35-49,0,0.4467989586397947
'no checking',6,'existing paid',radio/tv,2108,'<100','4<=X<7',2,'male mar/wid',none,2,'real estate',29,none,rent,1,skilled,1,none,yes,good,25-34,0,0.06682826825330632
'0<=X<200',45,'existing paid',radio/tv,3031,'100<=X<500','1<=X<4',4,'male single',guarantor,4,'life insurance',21,none,rent,1,skilled,1,none,yes,bad,<25,0,0.444906452283998
'0<=X<200',9,'critical/other existing credit',education,1501,'<100','>=7',2,'female div/dep/mar',none,3,car,34,none,own,2,'high qualif/self emp/mgmt',1,yes,yes,bad,25-34,0,0.23388833011257207
'no checking',6,'critical/other existing credit',radio/tv,1382,'<100','1<=X<4',1,'female div/dep/mar',none,1,car,28,none,own,2,skilled,1,yes,yes,good,25-34,0,0.02225270287134685
'0<=X<200',24,'existing paid','used car',2760,'no known savings','>=7',4,'male single',none,4,'no known property',36,bank,'for free',1,skilled,1,yes,yes,good,35-49,0,0.20119903092912478
'no checking',9,'critical/other existing credit',education,936,'500<=X<1000','>=7',4,'male single',none,2,car,52,none,own,2,skilled,1,yes,yes,good,50-64,0,0.05510560254475406
'no checking',27,'delayed previously',business,5117,'<100','4<=X<7',3,'male single',none,4,car,26,none,own,2,skilled,1,none,yes,good,25-34,0,0.13026173256336024
'<0',12,'existing paid',retraining,902,'<100','4<=X<7',4,'male mar/wid',none,4,'life insurance',21,none,rent,1,skilled,1,none,yes,bad,<25,0,0.40843061837066785
'no checking',12,'critical/other existing credit','new car',1495,'<100','>=7',4,'male single',none,1,'real estate',38,none,own,2,'unskilled resident',2,none,yes,good,35-49,0,0.11515591923859052
'<0',30,'critical/other existing credit','used car',10623,'<100','>=7',3,'male single',none,4,'no known property',38,none,'for free',3,'high qualif/self emp/mgmt',2,yes,yes,good,35-49,0,0.4316293465270899
'no checking',12,'critical/other existing credit',furniture/equipment,1935,'<100','>=7',4,'male single',none,4,'real estate',43,none,own,3,skilled,1,yes,yes,good,35-49,0,0.05057771252008564
'0<=X<200',12,'critical/other existing credit','domestic appliance',1424,'<100','4<=X<7',4,'male single',none,3,'life insurance',26,none,own,1,skilled,1,none,yes,good,25-34,0,0.10064531838634616
'no checking',12,'existing paid','used car',1413,'>=1000','4<=X<7',3,'male single',none,2,'life insurance',55,none,own,1,skilled,1,none,no,good,50-64,0,0.002204163968929973
'no checking',9,'critical/other existing credit',radio/tv,3074,'no known savings','1<=X<4',1,'male single',none,2,'real estate',33,none,own,2,skilled,2,none,yes,good,25-34,0,0.008732800048491425
'no checking',36,'existing paid',radio/tv,3835,'no known savings','>=7',2,'female div/dep/mar',none,4,'real estate',45,none,own,1,'unskilled resident',1,yes,yes,good,35-49,0,0.049113541585386555
'>=200',30,'delayed previously',business,1908,'<100','>=7',4,'male single',none,4,'real estate',66,none,own,1,'high qualif/self emp/mgmt',1,yes,yes,bad,65+,0,0.17200596053736522
'no checking',36,'critical/other existing credit',radio/tv,3342,'no known savings','>=7',4,'male single',none,2,car,51,none,own,1,skilled,1,yes,yes,good,50-64,0,0.02756960995495928
'0<=X<200',6,'critical/other existing credit',retraining,932,'no known savings','4<=X<7',1,'female div/dep/mar',none,3,'life insurance',39,none,own,2,'unskilled resident',1,none,yes,good,35-49,0,0.01488007676620965
'<0',18,'no credits/all paid',business,3104,'<100','4<=X<7',3,'male single',none,1,'life insurance',31,bank,own,1,skilled,1,yes,yes,good,25-34,0,0.49335708187984273
'>=200',36,'existing paid',radio/tv,3913,'<100','1<=X<4',2,'male single',none,2,'real estate',23,none,own,1,skilled,1,yes,yes,good,<25,0,0.17037201850557804
'no checking',10,'existing paid','new car',1364,'<100','1<=X<4',2,'female div/dep/mar',none,4,car,64,none,own,1,skilled,1,yes,yes,good,50-64,0,0.10885463955561976
'0<=X<200',12,'existing paid',radio/tv,625,'<100','<1',4,'male mar/wid',guarantor,1,'real estate',26,bank,own,1,'unskilled resident',1,none,yes,good,25-34,0,0.44371414421540833
'no checking',12,'existing paid',radio/tv,707,'<100','1<=X<4',4,'male single',none,2,'real estate',30,bank,own,2,skilled,1,none,yes,good,25-34,0,0.17833934161157666
'no checking',24,'delayed previously',business,2978,'no known savings','1<=X<4',4,'male single',none,4,'real estate',32,none,own,2,skilled,2,yes,yes,good,25-34,0,0.05982023654707845
'no checking',15,'existing paid','used car',4657,'<100','1<=X<4',3,'male single',none,2,car,30,none,own,1,skilled,1,yes,yes,good,25-34,0,0.05273667416938911
'no checking',36,'no credits/all paid',repairs,2613,'<100','1<=X<4',4,'male single',none,2,car,27,none,own,2,skilled,1,none,yes,good,25-34,0,0.4893174535355848
'no checking',9,'existing paid',radio/tv,1478,'<100','4<=X<7',4,'male single',none,2,car,22,none,own,1,skilled,1,none,yes,bad,<25,0,0.06373804497638094
'>=200',36,'existing paid',radio/tv,4210,'<100','1<=X<4',4,'male single',none,2,car,26,none,own,1,skilled,1,none,yes,bad,25-34,0,0.4171967975863896
'no checking',9,'existing paid','new car',2507,'500<=X<1000','>=7',2,'male single',none,4,'no known property',51,none,'for free',1,'unskilled resident',1,none,yes,good,50-64,0,0.07591313486176146
'no checking',12,'existing paid',radio/tv,2141,'100<=X<500','4<=X<7',3,'male single',none,1,'no known property',35,none,own,1,skilled,1,none,yes,good,25-34,0,0.08336581776257476
'0<=X<200',18,'existing paid',radio/tv,866,'<100','1<=X<4',4,'male mar/wid',guarantor,2,'real estate',25,none,own,1,'unskilled resident',1,none,yes,good,<25,0,0.23575410962313978
'no checking',4,'critical/other existing credit',radio/tv,1544,'<100','4<=X<7',2,'male single',none,1,'real estate',42,none,own,3,'unskilled resident',2,none,yes,good,35-49,0,0.017755499824898976
'0<=X<200',6,'existing paid','new car',14555,'no known savings',unemployed,1,'male single',none,2,'life insurance',23,none,own,1,'unemp/unskilled non res',1,yes,yes,bad,<25,0,0.22808813861598706
'no checking',12,'critical/other existing credit',radio/tv,1291,'<100','1<=X<4',4,'female div/dep/mar',none,2,'life insurance',35,none,own,2,skilled,1,none,yes,good,25-34,0,0.0850626367943214
'<0',30,'existing paid',radio/tv,2522,'<100','>=7',1,'male single',guarantor,3,'life insurance',39,none,own,1,skilled,2,none,yes,good,35-49,0,0.2186999408000806
'no checking',6,'existing paid',radio/tv,1595,'<100','4<=X<7',3,'male single',none,2,'life insurance',51,none,own,1,skilled,2,none,yes,good,50-64,0,0.04862652090923248
'no checking',12,'critical/other existing credit',business,1185,'<100','1<=X<4',3,'female div/dep/mar',none,2,'real estate',27,none,own,2,skilled,1,none,yes,good,25-34,0,0.06077974787843043
'no checking',12,'all paid',retraining,3447,'500<=X<1000','1<=X<4',4,'female div/dep/mar',none,3,'real estate',35,none,own,1,'unskilled resident',2,none,yes,good,25-34,0,0.1465943638993036
'no checking',24,'existing paid',business,1258,'<100','4<=X<7',4,'male single',none,1,'real estate',25,none,own,1,skilled,1,yes,yes,good,<25,0,0.059583938192964085
'no checking',12,'critical/other existing credit',radio/tv,717,'<100','>=7',4,'male single',none,4,'real estate',52,none,own,3,skilled,1,none,yes,good,50-64,0,0.04514837027645832
'no checking',6,'no credits/all paid','new car',1204,'100<=X<500','1<=X<4',4,'male single',none,1,'no known property',35,bank,rent,1,skilled,1,none,no,good,25-34,0,0.38992171557896765
'>=200',24,'existing paid',furniture/equipment,1925,'<100','1<=X<4',2,'male single',none,2,'real estate',26,none,own,1,skilled,1,none,yes,good,25-34,0,0.16734765021217865
'no checking',18,'existing paid',radio/tv,433,'<100',unemployed,3,'female div/dep/mar','co applicant',4,'real estate',22,none,rent,1,skilled,1,none,yes,bad,<25,0,0.3128841452776069
'<0',6,'critical/other existing credit','new car',666,'>=1000','4<=X<7',3,'female div/dep/mar',none,4,'real estate',39,none,own,2,'unskilled resident',1,yes,yes,good,35-49,0,0.05141320063543611
'>=200',12,'existing paid',furniture/equipment,2251,'<100','1<=X<4',1,'female div/dep/mar',none,2,car,46,none,own,1,'unskilled resident',1,none,yes,good,35-49,0,0.17727867016242263
'no checking',24,'delayed previously',furniture/equipment,4151,'100<=X<500','1<=X<4',2,'male single',none,3,'life insurance',35,none,own,2,skilled,1,none,yes,good,25-34,0,0.09278850693329091
'0<=X<200',9,'existing paid',furniture/equipment,2030,'no known savings','4<=X<7',2,'male single',none,1,car,24,none,own,1,skilled,1,yes,yes,good,<25,0,0.035466074673769596
'0<=X<200',60,'delayed previously',radio/tv,7418,'no known savings','1<=X<4',1,'male single',none,1,'real estate',27,none,own,1,'unskilled resident',1,none,yes,good,25-34,0,0.20269673066936533
'no checking',24,'critical/other existing credit',radio/tv,2684,'<100','1<=X<4',4,'male single',none,2,'real estate',35,none,own,2,'unskilled resident',1,none,yes,good,25-34,0,0.0678971741329015
'no checking',15,'existing paid','used car',3812,'100<=X<500','<1',1,'female div/dep/mar',none,4,car,23,none,own,1,skilled,1,yes,yes,good,<25,0,0.047164787052096084
'no checking',11,'critical/other existing credit',radio/tv,1154,'100<=X<500',unemployed,4,'female div/dep/mar',none,4,'real estate',57,none,own,3,'unskilled resident',1,none,yes,good,50-64,0,0.08411844484583998
'<0',12,'existing paid',furniture/equipment,1657,'<100','1<=X<4',2,'male single',none,2,'real estate',27,none,own,1,skilled,1,none,yes,good,25-34,0,0.2212586102101293
'<0',18,'critical/other existing credit','new car',5302,'<100','>=7',2,'male single',none,4,'no known property',36,none,'for free',3,'high qualif/self emp/mgmt',1,yes,yes,good,35-49,0,0.3350540174345424
'no checking',12,'critical/other existing credit',education,2748,'<100','>=7',2,'female div/dep/mar',none,4,'no known property',57,bank,'for free',3,'unskilled resident',1,none,yes,good,50-64,0,0.3587200198627012
'no checking',10,'critical/other existing credit','new car',1231,'<100','>=7',3,'male single',none,4,'real estate',32,none,own,2,'unskilled resident',2,none,no,good,25-34,0,0.02784874110450419
'0<=X<200',15,'existing paid',radio/tv,802,'<100','>=7',4,'male single',none,3,car,37,none,own,1,skilled,2,none,yes,bad,35-49,0,0.3381298106162256
'no checking',36,'critical/other existing credit',business,6304,'no known savings','>=7',4,'male single',none,4,'real estate',36,none,own,2,skilled,1,none,yes,good,35-49,0,0.060531436509383654
'no checking',24,'existing paid',radio/tv,1533,'<100','<1',4,'female div/dep/mar',none,3,car,38,stores,own,1,skilled,1,yes,yes,good,35-49,0,0.29692395157487117
'<0',14,'existing paid','new car',8978,'<100','>=7',1,'male div/sep',none,4,'life insurance',45,none,own,1,'high qualif/self emp/mgmt',1,yes,no,bad,35-49,0,0.32814415445191475
'no checking',24,'existing paid',radio/tv,999,'no known savings','>=7',4,'male single',none,2,car,25,none,own,2,skilled,1,none,yes,good,<25,0,0.059834837725743634
'no checking',18,'existing paid','new car',2662,'no known savings','4<=X<7',4,'male single',none,3,'life insurance',32,none,own,1,skilled,1,none,no,good,25-34,0,0.019794582687531027
'no checking',12,'critical/other existing credit',furniture/equipment,1402,'500<=X<1000','4<=X<7',3,'female div/dep/mar',none,4,car,37,none,rent,1,skilled,1,yes,yes,good,35-49,0,0.03382348966489448
'0<=X<200',48,'existing paid',radio/tv,3060,'<100','4<=X<7',4,'male single',none,4,'real estate',28,none,own,2,skilled,1,none,yes,bad,25-34,0,0.41856834049715347
'no checking',9,'existing paid',radio/tv,2697,'<100','1<=X<4',1,'male single',none,2,'real estate',32,none,own,1,skilled,2,none,yes,good,25-34,0,0.04561143498725456
'no checking',18,'critical/other existing credit',radio/tv,2404,'<100','1<=X<4',2,'female div/dep/mar',none,2,car,26,none,own,2,skilled,1,none,yes,good,25-34,0,0.06635929216260507
'<0',12,'existing paid',furniture/equipment,1262,'no known savings','>=7',2,'male div/sep',none,4,'life insurance',49,none,own,1,'unskilled resident',1,yes,yes,good,35-49,0,0.16125660821956442
'no checking',6,'existing paid',furniture/equipment,4611,'<100','<1',1,'female div/dep/mar',none,4,'life insurance',32,none,own,1,skilled,1,none,yes,bad,25-34,0,0.13409911786374668
'no checking',24,'existing paid',radio/tv,1901,'100<=X<500','1<=X<4',4,'male single',none,4,car,29,none,rent,1,'high qualif/self emp/mgmt',1,yes,yes,good,25-34,0,0.11758744275139253
'no checking',15,'critical/other existing credit','used car',3368,'>=1000','>=7',3,'male single',none,4,'no known property',23,none,rent,2,skilled,1,yes,yes,good,<25,0,0.029439926149071424
'no checking',12,'existing paid',furniture/equipment,1574,'<100','1<=X<4',4,'male single',none,2,'real estate',50,none,own,1,skilled,1,none,yes,good,35-49,0,0.09560436582681343
'>=200',18,'all paid',radio/tv,1445,'no known savings','4<=X<7',4,'male single',none,4,car,49,bank,own,1,'unskilled resident',1,none,yes,good,35-49,0,0.153374727988159
'no checking',15,'critical/other existing credit',furniture/equipment,1520,'no known savings','>=7',4,'male single',none,4,'life insurance',63,none,own,1,skilled,1,none,yes,good,50-64,0,0.01981587173683025
'0<=X<200',48,'delayed previously',other,7582,'100<=X<500',unemployed,2,'male single',none,4,'no known property',31,none,'for free',1,'high qualif/self emp/mgmt',1,yes,yes,good,25-34,0,0.3950206714495013
'0<=X<200',12,'existing paid',radio/tv,1092,'<100','1<=X<4',4,'female div/dep/mar',guarantor,4,'real estate',49,none,own,2,skilled,1,yes,yes,good,35-49,0,0.188023072024752
'no checking',12,'existing paid',business,1076,'<100','1<=X<4',2,'male mar/wid',none,2,'real estate',26,none,own,1,skilled,1,yes,no,good,25-34,0,0.017979777317672117
'0<=X<200',36,'existing paid','used car',9398,'<100','<1',1,'male mar/wid',none,4,car,28,none,rent,1,'high qualif/self emp/mgmt',1,yes,yes,bad,25-34,0,0.498811704877427
'<0',24,'critical/other existing credit','used car',6419,'<100','>=7',2,'female div/dep/mar',none,4,'no known property',44,none,'for free',2,'high qualif/self emp/mgmt',2,yes,yes,good,35-49,0,0.2889454136201857
'>=200',42,'critical/other existing credit','used car',4796,'<100','>=7',4,'male single',none,4,'no known property',56,none,'for free',1,skilled,1,none,yes,good,50-64,0,0.21271501899722312
'no checking',48,'critical/other existing credit',business,7629,'no known savings','>=7',4,'male div/sep',none,2,car,46,bank,own,2,'high qualif/self emp/mgmt',2,none,yes,good,35-49,0,0.46463101506483123
'no checking',12,'existing paid','used car',4675,'no known savings','<1',1,'female div/dep/mar',none,4,car,20,none,rent,1,skilled,1,none,yes,good,<25,0,0.05337880031120598
'no checking',10,'existing paid','new car',1287,'no known savings','>=7',4,'male single','co applicant',2,'life insurance',45,none,own,1,'unskilled resident',1,none,no,good,35-49,0,0.027643235964743402
'no checking',18,'existing paid',furniture/equipment,2515,'<100','1<=X<4',3,'male single',none,4,'real estate',43,none,own,1,skilled,1,yes,yes,good,35-49,0,0.07110459176569754
'0<=X<200',21,'critical/other existing credit',furniture/equipment,2745,'>=1000','4<=X<7',3,'male single',none,2,car,32,none,own,2,skilled,1,yes,yes,good,25-34,0,0.03129533800154967
'no checking',6,'existing paid','new car',672,'<100',unemployed,1,'female div/dep/mar',none,4,'real estate',54,none,own,1,'unemp/unskilled non res',1,yes,yes,good,50-64,0,0.062249529069559724
'>=200',24,'critical/other existing credit','new car',1344,'no known savings','4<=X<7',4,'male single',none,2,'real estate',37,bank,own,2,'unskilled resident',2,none,yes,bad,35-49,0,0.16296155064651444
'<0',10,'critical/other existing credit','new car',1038,'<100','4<=X<7',4,'male single','co applicant',3,'life insurance',49,none,own,2,skilled,1,yes,yes,good,35-49,0,0.21161753889756305
'no checking',48,'critical/other existing credit','new car',10127,'500<=X<1000','1<=X<4',2,'male single',none,2,'no known property',44,bank,'for free',1,skilled,1,none,yes,bad,35-49,0,0.3736102535352173
'no checking',6,'existing paid',furniture/equipment,1543,'>=1000','1<=X<4',4,'male div/sep',none,2,'real estate',33,none,own,1,skilled,1,none,yes,good,25-34,0,0.06520359171850162
'no checking',30,'existing paid','used car',4811,'no known savings','4<=X<7',2,'female div/dep/mar',none,4,'life insurance',24,stores,rent,1,'unskilled resident',1,none,yes,good,<25,0,0.07467384360343152
'0<=X<200',8,'existing paid',furniture/equipment,1237,'<100','1<=X<4',3,'female div/dep/mar',none,4,'real estate',24,none,own,1,skilled,1,none,yes,bad,<25,0,0.30005750339469195
'0<=X<200',48,'existing paid',other,5381,'no known savings',unemployed,3,'male single',none,4,'no known property',40,bank,'for free',1,'unemp/unskilled non res',1,yes,yes,good,35-49,0,0.38750397900609884
'no checking',24,'existing paid',furniture/equipment,5511,'100<=X<500','1<=X<4',4,'male single',none,1,car,25,stores,own,1,skilled,1,none,yes,good,<25,0,0.2666440160482926
'>=200',24,'existing paid',furniture/equipment,3749,'<100','<1',2,'female div/dep/mar',none,4,car,26,none,own,1,skilled,1,none,yes,good,25-34,0,0.44828473227973864
'0<=X<200',12,'existing paid','new car',685,'<100','4<=X<7',2,'male mar/wid',none,3,car,25,bank,own,1,'unskilled resident',1,none,yes,bad,<25,0,0.4439807739000211
'>=200',4,'existing paid','new car',1494,'no known savings','<1',1,'male single',none,2,'real estate',29,none,own,1,'unskilled resident',2,none,no,good,25-34,0,0.02541463180543916
'<0',12,'existing paid',furniture/equipment,708,'<100','1<=X<4',2,'male single',guarantor,3,'life insurance',38,none,own,1,'unskilled resident',2,none,yes,good,35-49,0,0.19081104646348768
'0<=X<200',24,'existing paid',furniture/equipment,4351,'no known savings','1<=X<4',1,'female div/dep/mar',none,4,'life insurance',48,none,own,1,'unskilled resident',1,yes,yes,good,35-49,0,0.11333409888173782
'no checking',12,'critical/other existing credit',education,701,'<100','1<=X<4',4,'male single',none,2,car,32,none,own,2,skilled,1,none,yes,good,25-34,0,0.1361484535043456
'<0',15,'delayed previously',furniture/equipment,3643,'<100','>=7',1,'female div/dep/mar',none,4,'life insurance',27,none,own,2,'unskilled resident',1,none,yes,good,25-34,0,0.40028679400662265
'<0',24,'existing paid','used car',2910,'<100','4<=X<7',2,'male single',none,1,'no known property',34,none,'for free',1,'high qualif/self emp/mgmt',1,yes,yes,good,25-34,0,0.11280639978849676
'<0',18,'existing paid',furniture/equipment,2659,'>=1000','1<=X<4',4,'male single',none,2,car,28,none,own,1,skilled,1,none,yes,good,25-34,0,0.20805922514859934
'no checking',18,'critical/other existing credit','new car',1028,'<100','1<=X<4',4,'female div/dep/mar',none,3,'real estate',36,none,own,2,skilled,1,none,yes,good,35-49,0,0.15675477956858738
'<0',8,'critical/other existing credit','new car',3398,'<100','4<=X<7',1,'male single',none,4,'real estate',39,none,own,2,'unskilled resident',1,none,no,good,35-49,0,0.0339832175879257
'no checking',12,'critical/other existing credit',furniture/equipment,5801,'no known savings','>=7',2,'male single',none,4,'life insurance',49,none,rent,1,skilled,1,yes,yes,good,35-49,0,0.020436091577456662
'no checking',24,'existing paid','new car',1525,'>=1000','4<=X<7',4,'female div/dep/mar',none,3,car,34,none,own,1,skilled,2,yes,yes,good,25-34,0,0.09294163285195595
'>=200',36,'existing paid',radio/tv,4473,'<100','>=7',4,'male single',none,2,car,31,none,own,1,skilled,1,none,yes,good,25-34,0,0.42849451223458257
'0<=X<200',6,'existing paid',radio/tv,1068,'<100','>=7',4,'male single',none,4,car,28,none,own,1,skilled,2,none,yes,good,25-34,0,0.3029965041030667
'<0',24,'critical/other existing credit','used car',6615,'<100',unemployed,2,'male single',none,4,'no known property',75,none,'for free',2,'high qualif/self emp/mgmt',1,yes,yes,good,65+,0,0.1773097742886835
'no checking',18,'critical/other existing credit',education,1864,'100<=X<500','1<=X<4',4,'female div/dep/mar',none,2,'real estate',30,none,own,2,skilled,1,none,yes,bad,25-34,0,0.18325556086915173
'no checking',48,'critical/other existing credit','used car',11590,'100<=X<500','1<=X<4',2,'female div/dep/mar',none,4,car,24,bank,rent,2,'unskilled resident',1,none,yes,bad,<25,0,0.4598046490631262
'<0',6,'critical/other existing credit',furniture/equipment,3384,'<100','1<=X<4',1,'male div/sep',none,4,'real estate',44,none,rent,1,'high qualif/self emp/mgmt',1,yes,yes,bad,35-49,0,0.193683412985907
'0<=X<200',13,'existing paid',radio/tv,2101,'<100','<1',2,'female div/dep/mar',guarantor,4,'life insurance',23,none,own,1,'unskilled resident',1,none,yes,good,<25,0,0.23179940635324142
'<0',15,'existing paid','domestic appliance',1275,'no known savings','1<=X<4',4,'female div/dep/mar',none,2,car,24,none,rent,1,skilled,1,none,yes,bad,<25,0,0.4111140912721745
'<0',21,'existing paid',furniture/equipment,3599,'<100','4<=X<7',1,'female div/dep/mar',none,4,car,26,none,rent,1,'unskilled resident',1,none,yes,good,25-34,0,0.4448240454208158
'0<=X<200',18,'existing paid',radio/tv,3213,'500<=X<1000','<1',1,'male mar/wid',none,3,'real estate',25,none,rent,1,skilled,1,none,yes,good,<25,0,0.25597362780352834
'0<=X<200',18,'existing paid',business,4439,'<100','>=7',1,'male single','co applicant',1,'real estate',33,bank,own,1,'high qualif/self emp/mgmt',1,yes,yes,good,25-34,0,0.2802847558224469
'>=200',10,'existing paid','new car',3949,'<100','<1',1,'male single',guarantor,1,'life insurance',37,none,own,1,'unskilled resident',2,none,yes,good,35-49,0,0.20308545600545222
'no checking',15,'critical/other existing credit',radio/tv,1459,'<100','1<=X<4',4,'female div/dep/mar',none,2,car,43,none,own,1,'unskilled resident',1,none,yes,good,35-49,0,0.08251904544062429
'0<=X<200',13,'critical/other existing credit',radio/tv,882,'<100','<1',4,'male single',guarantor,4,'real estate',23,none,own,2,skilled,1,none,yes,good,<25,0,0.11255578491979436
'no checking',6,'delayed previously',business,1743,'100<=X<500','1<=X<4',1,'male single',none,2,'real estate',34,none,own,2,'unskilled resident',1,none,yes,good,25-34,0,0.023673880042451127
'0<=X<200',9,'critical/other existing credit',education,1136,'>=1000','>=7',4,'male single',none,3,'no known property',32,none,'for free',2,skilled,2,none,yes,bad,25-34,0,0.1990747799367737
'no checking',9,'existing paid','domestic appliance',1236,'<100','<1',1,'female div/dep/mar',none,4,'real estate',23,none,rent,1,skilled,1,yes,yes,good,<25,0,0.09978935725919054
'0<=X<200',9,'existing paid',furniture/equipment,959,'<100','1<=X<4',1,'female div/dep/mar',none,2,car,29,none,own,1,skilled,1,none,no,bad,25-34,0,0.07565383819415566
'no checking',18,'critical/other existing credit','used car',3229,'no known savings',unemployed,2,'male single',none,4,'no known property',38,none,own,1,'high qualif/self emp/mgmt',1,yes,yes,good,35-49,0,0.017035991775344664
'no checking',10,'existing paid',education,727,'500<=X<1000','>=7',4,'male single',none,4,'no known property',46,none,'for free',1,skilled,1,yes,yes,good,35-49,0,0.12858879562086498
'no checking',12,'critical/other existing credit',radio/tv,2331,'no known savings','>=7',1,'male single','co applicant',4,'real estate',49,none,own,1,skilled,1,yes,yes,good,35-49,0,0.005186162817460595
'no checking',36,'delayed previously',radio/tv,4463,'<100','1<=X<4',4,'male single',none,2,car,26,none,own,2,'high qualif/self emp/mgmt',1,yes,yes,bad,25-34,0,0.1802348814250839
'no checking',12,'existing paid',radio/tv,776,'<100','1<=X<4',4,'male mar/wid',none,2,'real estate',28,none,own,1,skilled,1,none,yes,good,25-34,0,0.11823375086782154
'0<=X<200',18,'existing paid',education,1239,'no known savings','1<=X<4',4,'male single',none,4,'no known property',61,none,'for free',1,skilled,1,none,yes,good,50-64,0,0.31617860710613566
'>=200',12,'existing paid',radio/tv,3399,'no known savings','>=7',2,'male single',none,3,car,37,none,own,1,'high qualif/self emp/mgmt',1,none,yes,good,35-49,0,0.04806668155881445
'>=200',12,'delayed previously','new car',2247,'<100','1<=X<4',2,'female div/dep/mar',none,2,car,36,stores,own,2,skilled,1,yes,yes,good,35-49,0,0.3725183089857335
'no checking',6,'existing paid',furniture/equipment,1766,'<100','1<=X<4',1,'male mar/wid',none,2,'life insurance',21,none,rent,1,skilled,1,none,yes,good,<25,0,0.10844331734451193
'no checking',12,'existing paid',business,1542,'<100','4<=X<7',2,'male single',none,4,car,36,none,own,1,skilled,1,yes,yes,good,35-49,0,0.028439633181784198
'no checking',18,'critical/other existing credit','used car',3850,'<100','4<=X<7',3,'male single',none,1,car,27,none,own,2,skilled,1,none,yes,good,25-34,0,0.024025089751817438
'0<=X<200',18,'existing paid',furniture/equipment,3001,'<100','4<=X<7',2,'female div/dep/mar',none,4,'real estate',40,none,rent,1,skilled,1,none,yes,good,35-49,0,0.3291055482925593
'no checking',36,'existing paid','new car',3079,'no known savings','1<=X<4',4,'male single',none,4,'real estate',36,none,own,1,skilled,1,none,yes,good,35-49,0,0.12896168881068126
'no checking',18,'critical/other existing credit',radio/tv,6070,'<100','>=7',3,'male single',none,4,car,33,none,own,2,skilled,1,yes,yes,good,25-34,0,0.06114092467943116
'no checking',10,'critical/other existing credit',furniture/equipment,2146,'<100','<1',1,'female div/dep/mar',none,3,'real estate',23,none,rent,2,skilled,1,none,yes,good,<25,0,0.08953214770800266
'no checking',60,'critical/other existing credit','new car',13756,'no known savings','>=7',2,'male single',none,4,'no known property',63,bank,'for free',1,'high qualif/self emp/mgmt',1,yes,yes,good,50-64,0,0.3230130592821032
'no checking',18,'delayed previously',radio/tv,2320,'<100',unemployed,2,'male mar/wid',none,3,'real estate',34,none,own,2,skilled,1,none,yes,good,25-34,0,0.13740083233018607
'no checking',7,'delayed previously',radio/tv,846,'no known savings','>=7',3,'male single',none,4,'no known property',36,none,'for free',1,skilled,1,none,yes,good,35-49,0,0.025381213298577756
'no checking',6,'critical/other existing credit','new car',362,'100<=X<500','1<=X<4',4,'female div/dep/mar',none,4,car,52,none,own,2,'unskilled resident',1,none,yes,good,50-64,0,0.09449555180467054
'<0',20,'existing paid',furniture/equipment,2212,'no known savings','4<=X<7',4,'male single',none,4,car,39,none,own,1,skilled,1,yes,yes,good,35-49,0,0.12425711060940581
'no checking',22,'existing paid','new car',1283,'no known savings','4<=X<7',4,'female div/dep/mar',none,4,'life insurance',25,none,rent,1,skilled,1,none,yes,good,<25,0,0.15987441643096903
'>=200',12,'existing paid','new car',1330,'<100','<1',4,'male single',none,1,'real estate',26,none,own,1,skilled,1,none,yes,good,25-34,0,0.37095389135944873
'no checking',30,'delayed previously',business,4272,'100<=X<500','1<=X<4',2,'male single',none,2,'life insurance',26,none,own,2,'unskilled resident',1,none,yes,good,25-34,0,0.09927174161649506
'no checking',18,'critical/other existing credit',radio/tv,2238,'<100','1<=X<4',2,'female div/dep/mar',none,1,car,25,none,own,2,skilled,1,none,yes,good,<25,0,0.06473812999969061
'no checking',18,'existing paid',radio/tv,1126,'no known savings','<1',4,'female div/dep/mar',none,2,'real estate',21,none,rent,1,skilled,1,yes,yes,good,<25,0,0.10170744077457214
